[2024-08-01 23:30:02,958: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-01 23:30:03,340: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-08-01 23:52:00,844: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-08-01 23:52:00,855: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-01 23:52:00,857: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-01 23:52:00,857: INFO: common: created directory at: artifacts]
[2024-08-01 23:52:00,858: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-01 23:52:00,858: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1w0uM3pK-bXDkGEe1kRTuObX_ThC5ZciK/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-01 23:52:51,680: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1w0uM3pK-bXDkGEe1kRTuObX_ThC5ZciK/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-01 23:52:52,034: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-08-01 23:52:52,034: INFO: main: *******************]
[2024-08-01 23:52:52,034: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-08-01 23:52:52,035: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-01 23:52:52,036: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-01 23:52:52,036: INFO: common: created directory at: artifacts]
[2024-08-01 23:52:52,036: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-01 23:52:52,996: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-08-01 23:52:53,540: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2024-08-12 20:33:00,336: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-12 20:33:00,354: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-12 20:33:00,356: INFO: common: created directory at: artifacts]
[2024-08-12 20:33:00,359: INFO: common: created directory at: artificats/training]
[2024-08-12 20:34:28,499: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-12 20:34:28,502: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-12 20:34:28,504: INFO: common: created directory at: artifacts]
[2024-08-12 20:34:28,505: INFO: common: created directory at: artificats/training]
[2024-08-12 20:35:05,440: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-12 20:35:05,445: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-12 20:35:05,446: INFO: common: created directory at: artifacts]
[2024-08-12 20:35:05,447: INFO: common: created directory at: artificats/training]
[2024-08-13 19:43:46,180: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-13 19:43:46,183: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-13 19:43:46,183: INFO: common: created directory at: artifacts]
[2024-08-13 19:43:46,184: INFO: common: created directory at: artificats/training]
[2024-08-13 19:44:04,393: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-13 19:44:04,398: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-13 19:44:04,399: INFO: common: created directory at: artifacts]
[2024-08-13 19:44:04,401: INFO: common: created directory at: artificats/training]
[2024-08-13 19:47:50,889: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-13 19:47:50,893: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-13 19:47:50,895: INFO: common: created directory at: artifacts]
[2024-08-13 19:47:50,897: INFO: common: created directory at: artificats/training]
[2024-08-13 19:51:10,593: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-13 19:51:10,597: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-13 19:51:10,599: INFO: common: created directory at: artifacts]
[2024-08-13 19:51:10,600: INFO: common: created directory at: artificats/training]
[2024-08-13 19:52:37,336: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-13 19:52:37,342: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-13 19:52:37,344: INFO: common: created directory at: artifacts]
[2024-08-13 19:52:37,345: INFO: common: created directory at: artificats/training]
[2024-08-13 20:02:24,460: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-13 20:02:24,464: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-13 20:02:24,465: INFO: common: created directory at: artifacts]
[2024-08-13 20:02:24,466: INFO: common: created directory at: artificats/training]
[2024-08-13 20:04:40,991: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-13 20:04:40,995: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-13 20:04:40,996: INFO: common: created directory at: artifacts]
[2024-08-13 20:04:40,997: INFO: common: created directory at: artificats/training]
[2024-08-13 20:18:42,693: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-13 20:18:42,699: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-13 20:18:42,701: INFO: common: created directory at: artifacts]
[2024-08-13 20:18:42,703: INFO: common: created directory at: artificats/training]
[2024-08-13 20:19:16,669: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-13 20:19:16,675: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-13 20:19:16,678: INFO: common: created directory at: artifacts]
[2024-08-13 20:19:16,680: INFO: common: created directory at: artificats/training]
[2024-08-13 20:33:54,994: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-13 20:33:55,006: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-13 20:33:55,010: INFO: common: created directory at: artifacts]
[2024-08-13 20:33:55,015: INFO: common: created directory at: artificats/training]
[2024-08-14 14:52:44,794: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-14 14:52:44,796: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-14 14:52:44,796: INFO: common: created directory at: artifacts]
[2024-08-14 14:56:58,620: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-08-14 14:56:58,622: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-14 14:56:58,622: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-14 14:56:58,623: INFO: common: created directory at: artifacts]
[2024-08-14 14:56:58,623: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-14 14:56:58,623: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1w0uM3pK-bXDkGEe1kRTuObX_ThC5ZciK/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-14 14:57:07,986: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1w0uM3pK-bXDkGEe1kRTuObX_ThC5ZciK/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-14 14:57:08,366: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-08-14 14:57:08,366: INFO: main: *******************]
[2024-08-14 14:57:08,366: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-08-14 14:57:08,366: ERROR: main: name 'M' is not defined]
Traceback (most recent call last):
  File "main.py", line 22, in <module>
    prepare_base_model = M()
NameError: name 'M' is not defined
[2024-08-14 14:58:56,880: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-08-14 14:58:56,881: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-14 14:58:56,882: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-14 14:58:56,882: INFO: common: created directory at: artifacts]
[2024-08-14 14:58:56,882: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-14 14:58:56,882: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1w0uM3pK-bXDkGEe1kRTuObX_ThC5ZciK/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-14 14:59:05,605: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1w0uM3pK-bXDkGEe1kRTuObX_ThC5ZciK/view?usp=sharing into file artifacts/data_ingestion/data.zip]
